utc,unit,unit_active,pose_mem_current,pose_mem_peak,pose_swap,plonk_usage_usec,plonk_mem,host_memavailable_kib
2026-08-24T15:38:34Z,bosun-zeebeam-pose-groth16-20260824T153833Z.service,active,13918208,14086144,0,180819199656,34845593600,1743754644
2026-08-24T15:38:49Z,bosun-zeebeam-pose-groth16-20260824T153833Z.service,active,2583674880,2584711168,0,181820816422,34845855744,1742762988
2026-08-24T15:39:04Z,bosun-zeebeam-pose-groth16-20260824T153833Z.service,active,5331644416,5336207360,0,183054415078,34845593600,1739111600
2026-08-24T15:39:19Z,bosun-zeebeam-pose-groth16-20260824T153833Z.service,active,7242797056,7243894784,0,184290304532,34845855744,1737160736
2026-08-24T15:39:34Z,bosun-zeebeam-pose-groth16-20260824T153833Z.service,active,11070529536,11079950336,0,185378190220,34845593600,1733692232
2026-08-24T15:39:49Z,bosun-zeebeam-pose-groth16-20260824T153833Z.service,active,13299396608,13299658752,0,186726246677,34274557952,1731534412
2026-08-24T15:40:04Z,bosun-zeebeam-pose-groth16-20260824T153833Z.service,active,17871695872,17871695872,0,187939285831,34274553856,1728806696
2026-08-24T15:40:19Z,bosun-zeebeam-pose-groth16-20260824T153833Z.service,active,17871433728,17871695872,0,189028341027,32931647488,1729710976
2026-08-24T15:40:34Z,bosun-zeebeam-pose-groth16-20260824T153833Z.service,active,17871695872,17871695872,0,190500966781,32930742272,1729541588
2026-08-24T15:40:49Z,bosun-zeebeam-pose-groth16-20260824T153833Z.service,active,21808742400,22159650816,0,191643240509,32930480128,1726797928
2026-08-24T15:41:04Z,bosun-zeebeam-pose-groth16-20260824T153833Z.service,active,27843596288,27848282112,0,192782181155,32930476032,1718786624
2026-08-24T15:41:19Z,bosun-zeebeam-pose-groth16-20260824T153833Z.service,active,25957154816,27848282112,0,193986674970,29714984960,1725128364
2026-08-24T15:41:34Z,bosun-zeebeam-pose-groth16-20260824T153833Z.service,active,23447015424,27848282112,0,195414368207,29713141760,1728101564
2026-08-24T15:41:49Z,bosun-zeebeam-pose-groth16-20260824T153833Z.service,active,19970895872,27848282112,0,196460928735,29712740352,1732325924
2026-08-24T15:42:04Z,bosun-zeebeam-pose-groth16-20260824T153833Z.service,active,21282336768,27848282112,0,197451413659,29712740352,1729831856
2026-08-24T15:42:19Z,bosun-zeebeam-pose-groth16-20260824T153833Z.service,active,24771141632,27848282112,0,198558833218,29862682624,1725723204
2026-08-24T15:42:34Z,bosun-zeebeam-pose-groth16-20260824T153833Z.service,active,31101603840,35630157824,0,199763283907,27045081088,1720663708
2026-08-24T15:42:49Z,bosun-zeebeam-pose-groth16-20260824T153833Z.service,active,18417598464,35630157824,0,201128769902,25886834688,1734204884
2026-08-24T15:43:04Z,bosun-zeebeam-pose-groth16-20260824T153833Z.service,active,10422075392,35630157824,0,202503323422,25887625216,1744102288
2026-08-24T15:43:19Z,bosun-zeebeam-pose-groth16-20260824T153833Z.service,active,12596113408,35630157824,0,203294516384,29062062080,1739136480
2026-08-24T15:43:34Z,bosun-zeebeam-pose-groth16-20260824T153833Z.service,active,14554021888,35630157824,0,203761831346,35201949696,1727671436
2026-08-24T15:43:49Z,bosun-zeebeam-pose-groth16-20260824T153833Z.service,active,11537326080,35630157824,0,204393533436,24317341696,1734939720
2026-08-24T15:44:04Z,bosun-zeebeam-pose-groth16-20260824T153833Z.service,active,16789377024,35630157824,0,204993567236,15238586368,1743755544
2026-08-24T15:44:19Z,bosun-zeebeam-pose-groth16-20260824T153833Z.service,active,18940784640,35630157824,0,205932205733,17764855808,1739342400
2026-08-24T15:44:34Z,bosun-zeebeam-pose-groth16-20260824T153833Z.service,active,18940784640,35630157824,0,206808568767,17764425728,1743891380
2026-08-24T15:44:49Z,bosun-zeebeam-pose-groth16-20260824T153833Z.service,active,20656779264,35630157824,0,207793567275,17764302848,1742413808
2026-08-24T15:45:05Z,bosun-zeebeam-pose-groth16-20260824T153833Z.service,active,26514173952,35630157824,0,208909810439,17764302848,1737315604
2026-08-24T15:45:20Z,bosun-zeebeam-pose-groth16-20260824T153833Z.service,active,27111292928,35630157824,0,210022697684,17764302848,1737519580
2026-08-24T15:45:35Z,bosun-zeebeam-pose-groth16-20260824T153833Z.service,active,23595741184,35630157824,0,211171731100,17765269504,1739304612
2026-08-24T15:45:50Z,bosun-zeebeam-pose-groth16-20260824T153833Z.service,active,20035100672,35630157824,0,211964908124,17904967680,1741962272
2026-08-24T15:46:05Z,bosun-zeebeam-pose-groth16-20260824T153833Z.service,active,22059700224,35630157824,0,212693941792,17486909440,1739035444
2026-08-24T15:46:20Z,bosun-zeebeam-pose-groth16-20260824T153833Z.service,active,19223638016,35630157824,0,212963001243,23840038912,1734419352
2026-08-24T15:46:35Z,bosun-zeebeam-pose-groth16-20260824T153833Z.service,active,30021120000,35630157824,0,214013290088,30457675776,1714556872
2026-08-24T15:46:50Z,bosun-zeebeam-pose-groth16-20260824T153833Z.service,active,21678161920,35630157824,0,214882743193,34315169792,1719455892
2026-08-24T15:47:05Z,bosun-zeebeam-pose-groth16-20260824T153833Z.service,active,18129879040,35630157824,0,216117203437,35548311552,1723559036
2026-08-24T15:47:20Z,bosun-zeebeam-pose-groth16-20260824T153833Z.service,active,11356557312,35630157824,0,216968202960,35539996672,1730325688
2026-08-24T15:47:35Z,bosun-zeebeam-pose-groth16-20260824T153833Z.service,active,11798384640,35630157824,0,217822683444,35539738624,1733423892
2026-08-24T15:47:50Z,bosun-zeebeam-pose-groth16-20260824T153833Z.service,active,8882225152,35630157824,0,218708560638,35540000768,1732929816
2026-08-24T15:48:05Z,bosun-zeebeam-pose-groth16-20260824T153833Z.service,active,10521530368,35630157824,0,219607536402,35539738624,1734173976
2026-08-24T15:48:20Z,bosun-zeebeam-pose-groth16-20260824T153833Z.service,active,9802952704,35630157824,0,220545159343,35539738624,1735358856
2026-08-24T15:48:35Z,bosun-zeebeam-pose-groth16-20260824T153833Z.service,active,11377487872,35630157824,0,221549622633,35539738624,1732394048
2026-08-24T15:48:50Z,bosun-zeebeam-pose-groth16-20260824T153833Z.service,active,14033719296,35630157824,0,222578126525,35539738624,1732903608
2026-08-24T15:49:05Z,bosun-zeebeam-pose-groth16-20260824T153833Z.service,active,10772684800,35630157824,0,223699692108,35540000768,1732559512
2026-08-24T15:49:20Z,bosun-zeebeam-pose-groth16-20260824T153833Z.service,active,11122827264,35630157824,0,224737926577,35539738624,1733372512
2026-08-24T15:49:35Z,bosun-zeebeam-pose-groth16-20260824T153833Z.service,active,11231940608,35630157824,0,225835555578,35539738624,1732153884
2026-08-24T15:49:50Z,bosun-zeebeam-pose-groth16-20260824T153833Z.service,active,10281902080,35630157824,0,227099794822,35539738624,1732462148
2026-08-24T15:50:05Z,bosun-zeebeam-pose-groth16-20260824T153833Z.service,active,11137126400,35630157824,0,228094952152,35542261760,1727684696
2026-08-24T15:50:20Z,bosun-zeebeam-pose-groth16-20260824T153833Z.service,active,11137101824,35630157824,0,229537166092,34970320896,1729534148
