name	version	license	repository
zeebeam-standalone-verifier	0.1.0	(see repository)	
addchain	0.2.1	MIT OR Apache-2.0	https://github.com/str4d/addchain
addr2line	0.25.1	Apache-2.0 OR MIT	https://github.com/gimli-rs/addr2line
adler2	2.0.1	0BSD OR MIT OR Apache-2.0	https://github.com/oyvindln/adler2
ahash	0.8.12	MIT OR Apache-2.0	https://github.com/tkaitchuck/ahash
aho-corasick	1.1.5	Unlicense OR MIT	https://github.com/BurntSushi/aho-corasick
allocator-api2	0.2.21	MIT OR Apache-2.0	https://github.com/zakarumych/allocator-api2
ansi_term	0.12.1	MIT	https://github.com/ogham/rust-ansi-term
arrayref	0.3.9	BSD-2-Clause	https://github.com/droundy/arrayref
arrayvec	0.7.8	MIT OR Apache-2.0	https://github.com/bluss/arrayvec
autocfg	1.5.1	Apache-2.0 OR MIT	https://github.com/cuviper/autocfg
backtrace	0.3.76	MIT OR Apache-2.0	https://github.com/rust-lang/backtrace-rs
bincode	1.3.3	MIT	https://github.com/servo/bincode
bitvec	1.1.1	MIT	https://github.com/bitvecto-rs/bitvec
blake3	1.8.7	CC0-1.0 OR Apache-2.0 OR Apache-2.0 WITH LLVM-exception	https://github.com/BLAKE3-team/BLAKE3
block-buffer	0.10.4	MIT OR Apache-2.0	https://github.com/RustCrypto/utils
bytemuck	1.25.2	Zlib OR Apache-2.0 OR MIT	https://github.com/Lokathor/bytemuck
bytemuck_derive	1.12.0	Zlib OR Apache-2.0 OR MIT	https://github.com/Lokathor/bytemuck
byteorder	1.5.0	Unlicense OR MIT	https://github.com/BurntSushi/byteorder
cc	1.4.4	MIT OR Apache-2.0	https://github.com/rust-lang/cc-rs
cfg-if	1.0.4	MIT OR Apache-2.0	https://github.com/rust-lang/cfg-if
constant_time_eq	0.4.2	CC0-1.0 OR MIT-0 OR Apache-2.0	https://github.com/cesarb/constant_time_eq
cpufeatures	0.2.17	MIT OR Apache-2.0	https://github.com/RustCrypto/utils
cpufeatures	0.3.1	MIT OR Apache-2.0	https://github.com/RustCrypto/utils
crossbeam-channel	0.5.16	MIT OR Apache-2.0	https://github.com/crossbeam-rs/crossbeam
crossbeam-deque	0.8.7	MIT OR Apache-2.0	https://github.com/crossbeam-rs/crossbeam
crossbeam-epoch	0.9.20	MIT OR Apache-2.0	https://github.com/crossbeam-rs/crossbeam
crossbeam-queue	0.3.13	MIT OR Apache-2.0	https://github.com/crossbeam-rs/crossbeam
crossbeam-utils	0.8.22	MIT OR Apache-2.0	https://github.com/crossbeam-rs/crossbeam
crossbeam	0.8.4	MIT OR Apache-2.0	https://github.com/crossbeam-rs/crossbeam
crunchy	0.2.4	MIT	https://github.com/eira-fransham/crunchy
crypto-common	0.1.7	MIT OR Apache-2.0	https://github.com/RustCrypto/traits
deepsize2	0.1.0	MIT	https://github.com/nhtyy/deepsize/
deepsize_derive2	0.1.0	MIT	https://github.com/nhtyy/deepsize/
derive-where	1.6.1	MIT OR Apache-2.0	https://github.com/ModProg/derive-where
digest	0.10.7	MIT OR Apache-2.0	https://github.com/RustCrypto/traits
dirs-sys	0.4.1	MIT OR Apache-2.0	https://github.com/dirs-dev/dirs-sys-rs
dirs	5.0.1	MIT OR Apache-2.0	https://github.com/soc/dirs-rs
either	1.18.0	MIT OR Apache-2.0	https://github.com/rayon-rs/either
elf	0.7.4	MIT/Apache-2.0	https://github.com/cole14/rust-elf/
ff	0.13.1	MIT/Apache-2.0	https://github.com/zkcrypto/ff
ff_derive	0.13.1	MIT/Apache-2.0	https://github.com/zkcrypto/ff
find-msvc-tools	0.1.11	MIT OR Apache-2.0	https://github.com/rust-lang/cc-rs
funty	2.0.0	MIT	https://github.com/myrrlyn/funty
futures-channel	0.3.34	MIT OR Apache-2.0	https://github.com/rust-lang/futures-rs
futures-core	0.3.34	MIT OR Apache-2.0	https://github.com/rust-lang/futures-rs
futures-executor	0.3.34	MIT OR Apache-2.0	https://github.com/rust-lang/futures-rs
futures-io	0.3.34	MIT OR Apache-2.0	https://github.com/rust-lang/futures-rs
futures-macro	0.3.34	MIT OR Apache-2.0	https://github.com/rust-lang/futures-rs
futures-sink	0.3.34	MIT OR Apache-2.0	https://github.com/rust-lang/futures-rs
futures-task	0.3.34	MIT OR Apache-2.0	https://github.com/rust-lang/futures-rs
futures-util	0.3.34	MIT OR Apache-2.0	https://github.com/rust-lang/futures-rs
futures	0.3.34	MIT OR Apache-2.0	https://github.com/rust-lang/futures-rs
gcd	2.3.0	MIT/Apache-2.0	https://github.com/frewsxcv/rust-gcd
gen_ops	0.4.0	MIT	https://github.com/K-Vinayak/gen_ops
generic-array	0.14.7	MIT	https://github.com/fizyk20/generic-array.git
