name	version	license	repository
bls12_381	0.8.0	MIT/Apache-2.0	https://github.com/sp1-patches/bls12_381
armc-int	0.1.0	(see repository)	
zkdiff-armc-adapter	0.1.0	(see repository)	
zeebeam-b3xof-relation	0.1.0	(see repository)	
armc-relation	0.1.0	(see repository)	
zkdiff-script	0.1.0	(see repository)	
addchain	0.2.1	MIT OR Apache-2.0	https://github.com/str4d/addchain
addr2line	0.25.1	Apache-2.0 OR MIT	https://github.com/gimli-rs/addr2line
adler2	2.0.1	0BSD OR MIT OR Apache-2.0	https://github.com/oyvindln/adler2
ahash	0.8.12	MIT OR Apache-2.0	https://github.com/tkaitchuck/ahash
aho-corasick	1.1.5	Unlicense OR MIT	https://github.com/BurntSushi/aho-corasick
allocator-api2	0.2.21	MIT OR Apache-2.0	https://github.com/zakarumych/allocator-api2
android_system_properties	0.1.6	MIT OR Apache-2.0	https://github.com/nical/android_system_properties
ansi_term	0.12.1	MIT	https://github.com/ogham/rust-ansi-term
anstream	1.0.0	MIT OR Apache-2.0	https://github.com/rust-cli/anstyle.git
anstyle-parse	1.0.0	MIT OR Apache-2.0	https://github.com/rust-cli/anstyle.git
anstyle-query	1.1.5	MIT OR Apache-2.0	https://github.com/rust-cli/anstyle.git
anstyle-wincon	3.0.11	MIT OR Apache-2.0	https://github.com/rust-cli/anstyle.git
anstyle	1.0.14	MIT OR Apache-2.0	https://github.com/rust-cli/anstyle.git
anyhow	1.0.104	MIT OR Apache-2.0	https://github.com/dtolnay/anyhow
arrayref	0.3.9	BSD-2-Clause	https://github.com/droundy/arrayref
arrayvec	0.7.8	MIT OR Apache-2.0	https://github.com/bluss/arrayvec
async-scoped	0.9.0	Apache-2.0/MIT	https://github.com/rmanoka/async-scoped
async-stream-impl	0.3.6	MIT	https://github.com/tokio-rs/async-stream
async-stream	0.3.6	MIT	https://github.com/tokio-rs/async-stream
async-trait	0.1.92	MIT OR Apache-2.0	https://github.com/dtolnay/async-trait
atomic-waker	1.1.2	Apache-2.0 OR MIT	https://github.com/smol-rs/atomic-waker
atomic	0.6.1	Apache-2.0/MIT	https://github.com/Amanieu/atomic-rs
autocfg	1.5.1	Apache-2.0 OR MIT	https://github.com/cuviper/autocfg
axum-core	0.4.5	MIT	https://github.com/tokio-rs/axum
axum	0.7.9	MIT	https://github.com/tokio-rs/axum
backtrace	0.3.76	MIT OR Apache-2.0	https://github.com/rust-lang/backtrace-rs
base16ct	0.2.0	Apache-2.0 OR MIT	https://github.com/RustCrypto/formats/tree/master/base16ct
base64	0.22.1	MIT OR Apache-2.0	https://github.com/marshallpierce/rust-base64
base64ct	1.8.3	Apache-2.0 OR MIT	https://github.com/RustCrypto/formats
bincode	1.3.3	MIT	https://github.com/servo/bincode
bitflags	2.13.1	MIT OR Apache-2.0	https://github.com/bitflags/bitflags
bitvec	1.1.1	MIT	https://github.com/bitvecto-rs/bitvec
blake3	1.8.1	CC0-1.0 OR Apache-2.0 OR Apache-2.0 WITH LLVM-exception	https://github.com/BLAKE3-team/BLAKE3
block-buffer	0.10.4	MIT OR Apache-2.0	https://github.com/RustCrypto/utils
bumpalo	3.20.3	MIT OR Apache-2.0	https://github.com/fitzgen/bumpalo
byte-slice-cast	1.2.3	MIT	https://github.com/sdroege/bytes-num-slice-cast
bytemuck	1.25.2	Zlib OR Apache-2.0 OR MIT	https://github.com/Lokathor/bytemuck
bytemuck_derive	1.12.0	Zlib OR Apache-2.0 OR MIT	https://github.com/Lokathor/bytemuck
byteorder	1.5.0	Unlicense OR MIT	https://github.com/BurntSushi/byteorder
bytes	1.12.1	MIT	https://github.com/tokio-rs/bytes
camino	1.2.5	MIT OR Apache-2.0	https://github.com/camino-rs/camino
cargo-platform	0.1.9	MIT OR Apache-2.0	https://github.com/rust-lang/cargo
cargo_metadata	0.18.1	MIT	https://github.com/oli-obk/cargo_metadata
cc	1.4.4	MIT OR Apache-2.0	https://github.com/rust-lang/cc-rs
cfg-if	1.0.4	MIT OR Apache-2.0	https://github.com/rust-lang/cfg-if
cfg_aliases	0.2.2	MIT	https://github.com/katharostech/cfg_aliases
chacha20	0.10.1	MIT OR Apache-2.0	https://github.com/RustCrypto/stream-ciphers
chrono	0.4.45	MIT OR Apache-2.0	https://github.com/chronotope/chrono
clap	4.6.6	MIT OR Apache-2.0	https://github.com/clap-rs/clap
clap_builder	4.6.6	MIT OR Apache-2.0	https://github.com/clap-rs/clap
clap_derive	4.6.4	MIT OR Apache-2.0	https://github.com/clap-rs/clap
clap_lex	1.1.0	MIT OR Apache-2.0	https://github.com/clap-rs/clap
colorchoice	1.0.5	MIT OR Apache-2.0	https://github.com/rust-cli/anstyle.git
console	0.15.11	MIT	https://github.com/console-rs/console
const-oid	0.9.6	Apache-2.0 OR MIT	https://github.com/RustCrypto/formats/tree/master/const-oid
const_format	0.2.36	Zlib	https://github.com/rodrimati1992/const_format_crates/
const_format_proc_macros	0.2.34	Zlib	https://github.com/rodrimati1992/const_format_crates/
constant_time_eq	0.3.1	CC0-1.0 OR MIT-0 OR Apache-2.0	https://github.com/cesarb/constant_time_eq
core-foundation-sys	0.8.7	MIT OR Apache-2.0	https://github.com/servo/core-foundation-rs
cpufeatures	0.2.17	MIT OR Apache-2.0	https://github.com/RustCrypto/utils
cpufeatures	0.3.0	MIT OR Apache-2.0	https://github.com/RustCrypto/utils
crash-context	0.6.3	MIT OR Apache-2.0	https://github.com/EmbarkStudios/crash-handling
crash-handler	0.7.0	MIT OR Apache-2.0	https://github.com/EmbarkStudios/crash-handling
crc32fast	1.5.1	MIT OR Apache-2.0	https://github.com/srijs/rust-crc32fast
crossbeam-channel	0.5.16	MIT OR Apache-2.0	https://github.com/crossbeam-rs/crossbeam
crossbeam-deque	0.8.7	MIT OR Apache-2.0	https://github.com/crossbeam-rs/crossbeam
crossbeam-epoch	0.9.20	MIT OR Apache-2.0	https://github.com/crossbeam-rs/crossbeam
crossbeam-queue	0.3.13	MIT OR Apache-2.0	https://github.com/crossbeam-rs/crossbeam
crossbeam-utils	0.8.22	MIT OR Apache-2.0	https://github.com/crossbeam-rs/crossbeam
crossbeam	0.8.4	MIT OR Apache-2.0	https://github.com/crossbeam-rs/crossbeam
crunchy	0.2.4	MIT	https://github.com/eira-fransham/crunchy
crypto-bigint	0.5.5	Apache-2.0 OR MIT	https://github.com/RustCrypto/crypto-bigint
crypto-common	0.1.7	MIT OR Apache-2.0	https://github.com/RustCrypto/traits
