[int8] calibrated on 15 rows (7 august) in 36.7s; scale map 188 tensors (15 inherited); bounds i64-safe: True
[int8 august   1/112] august 600: int correct 0.006576 (fp32 0.006141) wrong mean 0.015160 (3 offsets)  clips 0  (11s)
[int8 august   9/112] august 608: int correct 0.007235 (fp32 0.006743) wrong mean 0.016477 (4 offsets)  clips 0  (90s)
[int8 august  17/112] august 616: int correct 0.006469 (fp32 0.006074) wrong mean 0.015242 (5 offsets)  clips 0  (159s)
[int8 august  25/112] august 624: int correct 0.006794 (fp32 0.006380) wrong mean 0.015804 (5 offsets)  clips 0  (238s)
[int8 august  33/112] august 632: int correct 0.007725 (fp32 0.007286) wrong mean 0.018361 (5 offsets)  clips 0  (315s)
[int8 august  41/112] august 640: int correct 0.007182 (fp32 0.006781) wrong mean 0.016564 (5 offsets)  clips 0  (389s)
[int8 august  49/112] august 648: int correct 0.007563 (fp32 0.007185) wrong mean 0.017182 (5 offsets)  clips 0  (449s)
[int8 august  57/112] august 656: int correct 0.007607 (fp32 0.007321) wrong mean 0.017256 (5 offsets)  clips 0  (507s)
[int8 august  65/112] august 664: int correct 0.007710 (fp32 0.007336) wrong mean 0.017498 (5 offsets)  clips 0  (565s)
[int8 august  73/112] august 672: int correct 0.007565 (fp32 0.007173) wrong mean 0.017520 (5 offsets)  clips 0  (624s)
[int8 august  81/112] august 680: int correct 0.007553 (fp32 0.007151) wrong mean 0.017734 (5 offsets)  clips 0  (682s)
[int8 august  89/112] august 688: int correct 0.007001 (fp32 0.006696) wrong mean 0.015962 (4 offsets)  clips 0  (733s)
[int8 august  97/112] august 696: int correct 0.007232 (fp32 0.006876) wrong mean 0.016926 (4 offsets)  clips 0  (784s)
[int8 august 105/112] august 704: int correct 0.007737 (fp32 0.007399) wrong mean 0.016103 (3 offsets)  clips 0  (824s)
wrote oracle/final/agreement_int8_august.json (857s)
