timestamp, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W], temperature.gpu
2026/09/07 22:24:00.987, 0 MiB, 81920 MiB, 0 %, 62.48 W, 34
2026/09/07 22:24:31.000, 0 MiB, 81920 MiB, 0 %, 62.74 W, 34
2026/09/07 22:25:01.001, 483 MiB, 81920 MiB, 0 %, 69.21 W, 35
2026/09/07 22:25:31.003, 25903 MiB, 81920 MiB, 0 %, 70.81 W, 36
2026/09/07 22:26:01.004, 25903 MiB, 81920 MiB, 40 %, 87.68 W, 40
2026/09/07 22:26:31.005, 25903 MiB, 81920 MiB, 0 %, 88.19 W, 40
2026/09/07 22:27:01.006, 25903 MiB, 81920 MiB, 29 %, 196.41 W, 41
2026/09/07 22:27:31.007, 25903 MiB, 81920 MiB, 23 %, 88.97 W, 41
2026/09/07 22:28:01.010, 25903 MiB, 81920 MiB, 37 %, 166.92 W, 44
2026/09/07 22:28:31.012, 25903 MiB, 81920 MiB, 34 %, 111.45 W, 43
2026/09/07 22:29:01.013, 25903 MiB, 81920 MiB, 94 %, 115.91 W, 46
2026/09/07 22:29:31.015, 25903 MiB, 81920 MiB, 47 %, 313.33 W, 47
2026/09/07 22:30:01.017, 26671 MiB, 81920 MiB, 0 %, 96.78 W, 41
2026/09/07 22:30:31.019, 27087 MiB, 81920 MiB, 47 %, 133.15 W, 44
2026/09/07 22:31:01.020, 27087 MiB, 81920 MiB, 0 %, 89.47 W, 41
2026/09/07 22:31:31.021, 27087 MiB, 81920 MiB, 5 %, 142.79 W, 43
2026/09/07 22:32:01.023, 27087 MiB, 81920 MiB, 9 %, 118.09 W, 45
2026/09/07 22:32:31.024, 27087 MiB, 81920 MiB, 46 %, 234.39 W, 45
2026/09/07 22:33:01.025, 27087 MiB, 81920 MiB, 2 %, 89.15 W, 42
2026/09/07 22:33:31.026, 27087 MiB, 81920 MiB, 0 %, 75.82 W, 41
2026/09/07 22:34:01.027, 27087 MiB, 81920 MiB, 0 %, 90.35 W, 41
2026/09/07 22:34:31.029, 27087 MiB, 81920 MiB, 19 %, 95.58 W, 42
2026/09/07 22:35:01.030, 27087 MiB, 81920 MiB, 79 %, 295.39 W, 49
2026/09/07 22:35:31.031, 27087 MiB, 81920 MiB, 96 %, 296.83 W, 48
2026/09/07 22:36:01.033, 27087 MiB, 81920 MiB, 29 %, 95.18 W, 44
2026/09/07 22:36:31.038, 27087 MiB, 81920 MiB, 59 %, 294.79 W, 48
2026/09/07 22:37:01.038, 27087 MiB, 81920 MiB, 86 %, 292.13 W, 49
2026/09/07 22:37:31.040, 27087 MiB, 81920 MiB, 2 %, 89.47 W, 42
2026/09/07 22:38:01.041, 27087 MiB, 81920 MiB, 48 %, 224.52 W, 48
2026/09/07 22:38:31.044, 27087 MiB, 81920 MiB, 29 %, 72.10 W, 41
2026/09/07 22:39:01.046, 27087 MiB, 81920 MiB, 87 %, 142.64 W, 46
2026/09/07 22:39:31.047, 27087 MiB, 81920 MiB, 31 %, 89.75 W, 43
2026/09/07 22:40:01.048, 27087 MiB, 81920 MiB, 9 %, 89.43 W, 42
2026/09/07 22:40:31.050, 27087 MiB, 81920 MiB, 27 %, 90.30 W, 43
2026/09/07 22:41:01.051, 27087 MiB, 81920 MiB, 0 %, 89.25 W, 42
2026/09/07 22:41:31.053, 27087 MiB, 81920 MiB, 85 %, 90.03 W, 42
2026/09/07 22:42:01.054, 27087 MiB, 81920 MiB, 20 %, 153.68 W, 44
2026/09/07 22:42:31.056, 27087 MiB, 81920 MiB, 100 %, 251.06 W, 44
2026/09/07 22:43:01.057, 27087 MiB, 81920 MiB, 0 %, 280.57 W, 48
2026/09/07 22:43:31.065, 27087 MiB, 81920 MiB, 53 %, 106.84 W, 43
2026/09/07 22:44:01.066, 27087 MiB, 81920 MiB, 0 %, 89.15 W, 42
