timestamp, memory.used [MiB], memory.total [MiB], utilization.gpu [%]
2026/09/08 17:24:22.687, 0 MiB, 40960 MiB, 0 %
2026/09/08 17:24:52.689, 477 MiB, 40960 MiB, 0 %
2026/09/08 17:25:22.691, 25903 MiB, 40960 MiB, 0 %
2026/09/08 17:25:52.692, 25903 MiB, 40960 MiB, 89 %
2026/09/08 17:26:22.696, 25903 MiB, 40960 MiB, 34 %
2026/09/08 17:26:52.698, 25903 MiB, 40960 MiB, 67 %
2026/09/08 17:27:22.699, 25903 MiB, 40960 MiB, 74 %
2026/09/08 17:27:52.700, 26671 MiB, 40960 MiB, 0 %
2026/09/08 17:28:22.702, 26671 MiB, 40960 MiB, 94 %
2026/09/08 17:28:52.703, 26671 MiB, 40960 MiB, 88 %
2026/09/08 17:29:22.707, 26671 MiB, 40960 MiB, 51 %
2026/09/08 17:29:52.709, 26671 MiB, 40960 MiB, 93 %
2026/09/08 17:30:22.711, 26671 MiB, 40960 MiB, 88 %
2026/09/08 17:30:52.713, 26671 MiB, 40960 MiB, 88 %
2026/09/08 17:31:22.716, 26671 MiB, 40960 MiB, 59 %
2026/09/08 17:31:52.717, 26671 MiB, 40960 MiB, 95 %
2026/09/08 17:32:22.719, 26671 MiB, 40960 MiB, 91 %
2026/09/08 17:32:52.720, 26671 MiB, 40960 MiB, 14 %
2026/09/08 17:33:22.721, 26671 MiB, 40960 MiB, 0 %
2026/09/08 17:33:52.723, 26671 MiB, 40960 MiB, 88 %
2026/09/08 17:34:22.723, 26671 MiB, 40960 MiB, 88 %
2026/09/08 17:34:52.725, 26671 MiB, 40960 MiB, 80 %
2026/09/08 17:35:22.726, 26671 MiB, 40960 MiB, 49 %
2026/09/08 17:35:52.728, 26671 MiB, 40960 MiB, 0 %
2026/09/08 17:36:22.729, 26671 MiB, 40960 MiB, 100 %
2026/09/08 17:36:52.731, 26671 MiB, 40960 MiB, 33 %
2026/09/08 17:37:22.733, 26671 MiB, 40960 MiB, 48 %
2026/09/08 17:37:52.737, 26671 MiB, 40960 MiB, 0 %
2026/09/08 17:38:22.739, 26671 MiB, 40960 MiB, 81 %
2026/09/08 17:38:52.741, 26671 MiB, 40960 MiB, 94 %
2026/09/08 17:39:22.742, 26671 MiB, 40960 MiB, 48 %
2026/09/08 17:39:52.743, 26671 MiB, 40960 MiB, 95 %
2026/09/08 17:40:22.744, 26671 MiB, 40960 MiB, 65 %
2026/09/08 17:40:52.746, 26671 MiB, 40960 MiB, 52 %
2026/09/08 17:41:22.748, 26671 MiB, 40960 MiB, 43 %
2026/09/08 17:41:52.749, 26671 MiB, 40960 MiB, 77 %
2026/09/08 17:42:22.751, 26671 MiB, 40960 MiB, 85 %
2026/09/08 17:42:52.754, 26671 MiB, 40960 MiB, 4 %
2026/09/08 17:43:22.755, 26671 MiB, 40960 MiB, 61 %
2026/09/08 17:43:52.757, 28431 MiB, 40960 MiB, 71 %
2026/09/08 17:44:22.758, 28431 MiB, 40960 MiB, 87 %
2026/09/08 17:44:52.760, 28431 MiB, 40960 MiB, 13 %
2026/09/08 17:45:22.761, 28431 MiB, 40960 MiB, 30 %
2026/09/08 17:45:52.762, 28431 MiB, 40960 MiB, 9 %
2026/09/08 17:46:22.764, 28431 MiB, 40960 MiB, 80 %
2026/09/08 17:46:52.767, 28431 MiB, 40960 MiB, 7 %
2026/09/08 17:47:22.768, 28431 MiB, 40960 MiB, 87 %
2026/09/08 17:47:52.769, 28431 MiB, 40960 MiB, 89 %
2026/09/08 17:48:22.770, 28431 MiB, 40960 MiB, 69 %
2026/09/08 17:48:52.772, 28431 MiB, 40960 MiB, 60 %
2026/09/08 17:49:22.774, 28431 MiB, 40960 MiB, 4 %
2026/09/08 17:49:52.778, 28431 MiB, 40960 MiB, 0 %
2026/09/08 17:50:22.780, 28431 MiB, 40960 MiB, 0 %
2026/09/08 17:50:52.781, 28431 MiB, 40960 MiB, 99 %
2026/09/08 17:51:22.782, 28431 MiB, 40960 MiB, 94 %
2026/09/08 17:51:52.784, 28431 MiB, 40960 MiB, 84 %
2026/09/08 17:52:22.785, 28431 MiB, 40960 MiB, 93 %
2026/09/08 17:52:52.786, 28431 MiB, 40960 MiB, 85 %
2026/09/08 17:53:22.788, 28431 MiB, 40960 MiB, 41 %
2026/09/08 17:53:52.790, 28431 MiB, 40960 MiB, 49 %
2026/09/08 17:54:22.791, 28431 MiB, 40960 MiB, 0 %
2026/09/08 17:54:52.796, 28431 MiB, 40960 MiB, 92 %
2026/09/08 17:55:22.798, 28431 MiB, 40960 MiB, 62 %
2026/09/08 17:55:52.799, 28431 MiB, 40960 MiB, 0 %
2026/09/08 17:56:22.801, 28431 MiB, 40960 MiB, 91 %
2026/09/08 17:56:52.803, 28431 MiB, 40960 MiB, 0 %
2026/09/08 17:57:22.804, 28431 MiB, 40960 MiB, 88 %
2026/09/08 17:57:52.806, 28431 MiB, 40960 MiB, 89 %
2026/09/08 17:58:22.807, 28431 MiB, 40960 MiB, 95 %
2026/09/08 17:58:52.809, 28431 MiB, 40960 MiB, 100 %
2026/09/08 17:59:22.810, 28431 MiB, 40960 MiB, 56 %
2026/09/08 17:59:52.813, 28431 MiB, 40960 MiB, 0 %
2026/09/08 18:00:22.815, 28431 MiB, 40960 MiB, 44 %
2026/09/08 18:00:52.817, 28431 MiB, 40960 MiB, 93 %
2026/09/08 18:01:22.818, 28431 MiB, 40960 MiB, 82 %
2026/09/08 18:01:52.819, 28431 MiB, 40960 MiB, 94 %
2026/09/08 18:02:22.821, 28431 MiB, 40960 MiB, 0 %
2026/09/08 18:02:52.823, 28431 MiB, 40960 MiB, 93 %
2026/09/08 18:03:22.825, 28431 MiB, 40960 MiB, 55 %
2026/09/08 18:03:52.826, 28431 MiB, 40960 MiB, 41 %
