session,year,n_frames,n_frames_total,recording_wh,emission_stored,displayed_emission_wh,orientation_deg,bbox_xyxy,bbox_frac_w,bbox_frac_h,area_frac,emission_inside_frame_frac,centre_x,centre_y,centre_offset_px,scale,scale_x,scale_y,aspect_xy,rotation_deg,keystone_h_pct,keystone_v_pct,corr_mean,model_r2,gain_B_median,gray_in_mean,gray_in_p1,gray_in_p99,gray_out_mean,gray_out_p1,gray_out_p99,contrast_in_out,sat_frac_in,sat_frac_full,chan_mean_in_rgb,chan_mean_out_rgb,absdiff_out_mean,absdiff_out_max,absdiff_in_mean,noise_floor_std_out,moving_frac_out,model_outlier_in_mean,model_outlier_in_max,frames_changed,scene,block_max_corner_shift_px,block_centre_range_px,block_scale_range_pct,block_rot_range_deg,frame_shift_range_x_px,frame_shift_range_y_px,frame_shift_std_x_px,frame_shift_std_y_px,frame_shift_cc_median,sift_ratio_inliers,sift_plain_inliers,hash_check,stats_json
1680410249,2023,8,,2048x1536,1024x1024 float32 (idx0 float64),1920x1200,180,"[112, 263, 1859, 1263]",0.853,0.651,0.509,1.0,983,719,"[-41, -49]",0.829,0.843,0.815,1.034,-179.53,-2.8,-14.8,0.863,0.849,0.392,42.5,6.0,125.0,14.0,5.0,33.0,3.04,0.0,0.00026,"[41.0, 42.8, 44.8]","[17.4, 11.8, 15.6]",0.86,1.08,13.1,0.66,0.0221,0.022,0.031,0,static,nan,nan,nan,nan,5.2,1.7,1.62,0.62,0.591,7,0,8/8 report hashes,figures/2023/1680410249_stats.json
1680410569,2023,8,,2048x1536,1024x1024 float32 (idx0 float64),1920x1200,180,"[104, 262, 1847, 1248]",0.851,0.642,0.508,1.0,984,719,"[-40, -49]",0.829,0.843,0.814,1.036,-179.85,0.1,-14.2,0.857,0.827,0.382,41.6,6.0,122.0,14.3,5.0,38.0,2.91,0.0,0.00027,"[41.2, 41.1, 44.8]","[18.3, 11.9, 15.9]",1.24,1.69,12.38,0.7,0.095,0.022,0.03,0,static,nan,nan,nan,nan,7.3,2.7,2.29,0.9,0.473,8,0,8/8 report hashes,figures/2023/1680410569_stats.json
1680412337,2023,8,,2048x1536,1024x1024 float32 (idx0 float64),1920x1200,180,"[117, 262, 1850, 1260]",0.846,0.65,0.507,1.0,981,721,"[-43, -47]",0.828,0.84,0.815,1.031,-179.53,-2.4,-13.7,0.716,0.512,0.327,30.1,6.0,106.0,8.4,4.0,18.0,3.57,0.0,0.0,"[30.4, 29.7, 31.0]","[11.1, 6.2, 12.8]",1.29,1.58,15.89,0.7,0.0603,0.051,0.072,6,changing: person/motion in 6/8 frames,nan,nan,nan,nan,2.1,0.7,0.87,0.19,0.406,0,0,8/8 report hashes,figures/2023/1680412337_stats.json
1681945334,2023,8,,2048x1536,1024x1024 float32 (idx0 float64),1920x1200,180,"[88, 263, 1850, 1254]",0.86,0.645,0.514,1.0,986,722,"[-38, -46]",0.832,0.847,0.819,1.034,-179.89,1.2,-15.5,0.721,0.56,0.403,34.2,6.0,108.0,8.9,5.0,18.0,3.84,0.0,0.0,"[35.7, 33.0, 36.2]","[12.1, 6.3, 13.1]",0.99,1.14,15.59,0.66,0.0467,0.059,0.101,7,changing: person/motion in 7/8 frames,nan,nan,nan,nan,0.3,0.6,0.07,0.19,0.283,0,0,8/8 report hashes,figures/2023/1681945334_stats.json
1682013847,2023,8,,2048x1536,1024x1024 float32 (idx0 float64),1920x1200,180,"[97, 262, 1848, 1254]",0.855,0.646,0.513,1.0,987,723,"[-37, -45]",0.832,0.845,0.82,1.031,-179.88,1.2,-14.6,0.697,0.427,0.385,35.0,6.0,116.0,8.9,5.0,18.0,3.93,0.00137,0.00073,"[35.1, 34.9, 34.8]","[11.8, 6.7, 12.6]",1.07,1.14,17.9,0.7,0.0187,0.061,0.099,8,changing: person/motion in 8/8 frames,nan,nan,nan,nan,0.2,5.6,0.07,1.93,0.265,0,0,8/8 report hashes,figures/2023/1682013847_stats.json
1682014432,2023,8,,2048x1536,1024x1024 float32 (idx0 float64),1920x1200,180,"[121, 255, 1847, 1260]",0.843,0.654,0.511,1.0,983,720,"[-41, -48]",0.832,0.843,0.821,1.027,-179.55,-2.7,-12.4,0.818,0.733,0.394,35.3,6.0,115.0,9.5,5.0,20.0,3.73,0.00019,0.0001,"[36.3, 34.7, 35.3]","[12.5, 7.1, 13.1]",0.95,1.25,13.94,0.7,0.0267,0.035,0.078,2,changing: person/motion in 2/8 frames,nan,nan,nan,nan,3.4,1.8,1.36,0.57,0.502,9,0,8/8 report hashes,figures/2023/1682014432_stats.json
1682712156,2023,8,,2048x1536,1024x1024 float32 (idx0 float64),1920x1200,180,"[108, 267, 1867, 1254]",0.859,0.643,0.512,1.0,996,722,"[-28, -46]",0.831,0.845,0.817,1.034,179.96,0.3,-15.7,0.722,0.562,0.389,36.5,6.0,113.0,8.9,5.0,19.0,4.1,0.0,0.0,"[36.1, 36.3, 38.1]","[11.5, 6.7, 13.2]",0.84,1.02,16.29,0.5,0.0369,0.049,0.06,6,changing: person/motion in 6/8 frames,nan,nan,nan,nan,5.7,10.1,1.85,3.11,0.248,0,0,8/8 report hashes,figures/2023/1682712156_stats.json
1682718815,2023,25,,2048x1536,1024x1024 float32 (idx0 float64),1920x1200,180,"[106, 265, 1862, 1254]",0.857,0.644,0.512,1.0,998,722,"[-26, -46]",0.831,0.844,0.819,1.031,-179.94,0.9,-15.4,0.709,0.478,0.435,36.8,6.0,117.0,9.2,5.0,19.0,3.99,0.0,0.0,"[37.2, 36.5, 37.4]","[12.4, 6.8, 12.9]",0.93,1.29,16.84,0.77,0.0103,0.022,0.071,3,changing: person/motion in 3/25 frames,nan,nan,nan,nan,6.6,8.9,1.76,2.03,0.267,0,0,25/25 report hashes,figures/2023/1682718815_stats.json
20241219_044052,2024,64,64,5320x4600,1920x1080 uint8,1920x1080,0,"[272, 687, 4930, 3374]",0.876,0.584,0.488,1.0,2601,2034,"[-59, -266]",2.4,2.396,2.404,0.996,1.13,-0.3,-0.2,0.401,0.178,0.232,46.4,16.0,118.0,16.6,15.0,22.0,2.79,0.00012,0.00016,"[42.3, 50.0, 38.4]","[16.8, 16.7, 16.5]",0.62,1.02,16.26,0.5,0.0336,0.035,0.16,22,changing: person/motion in 22/64 frames,8.5,5.9,0.04,0.11,24.0,1.3,6.96,0.15,0.604,49,12,"[True, True, True]/final=True",figures/2024/20241219_044052_stats.json
20241219_044529,2024,64,64,5320x4600,1920x1080 uint8,1920x1080,0,"[272, 687, 4930, 3372]",0.876,0.584,0.488,1.0,2602,2034,"[-58, -266]",2.399,2.396,2.402,0.997,1.14,-0.3,-0.3,0.486,0.243,0.255,45.1,16.0,114.0,16.6,15.0,22.0,2.71,0.00012,0.00015,"[41.1, 48.5, 37.8]","[16.8, 16.7, 16.5]",0.55,0.99,14.63,0.49,0.0276,0.033,0.14,19,changing: person/motion in 19/64 frames,8.9,6.9,0.14,0.143,24.0,3.1,6.17,0.39,0.757,33,0,"[True, True, True]/final=True",figures/2024/20241219_044529_stats.json
